,,,ipadic,ipadic,ipadic,ipadic,jumandic,jumandic,jumandic,jumandic,unidic,unidic,unidic,unidic
,,,frequencies,frequencies,percentages,percentages,frequencies,frequencies,percentages,percentages,frequencies,frequencies,percentages,percentages
unexpected segmentation,,,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES
postfix,unit length,compound unit,,,,,,,,,,,,
師,3,美容師,193,0,1.0,0.0,184,9,0.9533678756476683,0.046632124352331605,193,0,1.0,0.0
師,3,薬剤師,421,0,1.0,0.0,421,0,1.0,0.0,421,0,1.0,0.0
師,3,説教師,40,0,1.0,0.0,13,27,0.325,0.675,40,0,1.0,0.0
師,3,調理師,51,0,1.0,0.0,51,0,1.0,0.0,51,0,1.0,0.0
師,3,連歌師,13,0,1.0,0.0,13,0,1.0,0.0,13,0,1.0,0.0
所,2,住所,591,0,1.0,0.0,591,0,1.0,0.0,591,0,1.0,0.0
所,2,個所,366,0,1.0,0.0,366,0,1.0,0.0,366,0,1.0,0.0
所,2,入所,262,0,1.0,0.0,262,0,1.0,0.0,262,0,1.0,0.0
所,2,出所,570,0,1.0,0.0,570,0,1.0,0.0,570,0,1.0,0.0
所,2,別所,30,0,1.0,0.0,30,0,1.0,0.0,30,0,1.0,0.0
所,2,場所,567,0,1.0,0.0,567,0,1.0,0.0,567,0,1.0,0.0
所,2,寝所,107,0,1.0,0.0,107,0,1.0,0.0,107,0,1.0,0.0
所,2,役所,581,0,1.0,0.0,581,0,1.0,0.0,581,0,1.0,0.0
所,2,札所,25,0,1.0,0.0,25,0,1.0,0.0,25,0,1.0,0.0
所,2,近所,519,0,1.0,0.0,519,0,1.0,0.0,519,0,1.0,0.0
所,3,事務所,603,0,1.0,0.0,603,0,1.0,0.0,603,0,1.0,0.0
所,3,代官所,50,0,1.0,0.0,50,0,1.0,0.0,50,0,1.0,0.0
所,3,保健所,626,0,1.0,0.0,626,0,1.0,0.0,626,0,1.0,0.0
所,3,保育所,685,0,1.0,0.0,685,0,1.0,0.0,685,0,1.0,0.0
所,3,停留所,111,0,1.0,0.0,111,0,1.0,0.0,111,0,1.0,0.0
所,3,区役所,682,0,1.0,0.0,0,682,0.0,1.0,0,682,0.0,1.0
