,0
85,んだとさ」と、答えてやった。俺が言うのもなんだが、消防士は激務だ。ダチでクールでリアリストな裕二に「正確に」言わせれば、
86,ピータ・ガンチ（五十四歳）は瓦礫に埋まり壮絶な殉職を遂げていた。「二百人以上の消防士が行方不明だ。おそらく、彼らの多くは生きていないだろう」現場で、消防長官トーマス・ボン・エッセンは
87,不在者投票者は全体が四百五十三人、永住外国人は六人。神戸発の歌ＮＹに届け９月のテロ追悼行事消防士のみなさんありがとう米の音楽家が披露劇団「ＳＨＯＷ‐ＣＯＭＰＡＮＹ（ショーカンパニー）」（大阪府八尾市）が
88,肩からたすき掛けにする者もいれば、腰に巻く者もいるが、ほとんどの消防士がこうしたベルトを使っている。手に入るものでなんとかするしかないのだ。
89,？今年の「カントリー・ゴールド・アワード」にウィリー君のファイヤーマン・バンドも出るそうですよそう彼はファイヤーマン（消防士）なんですそう言えばこの年のビデオを見直して思い出したんですがベラミーの
90,と話をしてくる。すぐに戻るよ」ガブリエルは、ワイアットがふたりの消防士のほうに歩いていくのをぼんやりと眺めた。ほどなく、彼は話を
91,うち、だれを名もない被害者として無視するか、またニューヨークの事件で死亡したどの消防士の家族や人生に注目するのか、それを決めるのは私たちです。９月十一日
92,かもしれないが、実際には降りかかってきた。これは救命活動であり、私たちはニューヨーク市消防局の消防士だ。規則は規則なのだ。いつ崩れてもおかしくない瓦礫の山に話
93,ブーツのおしゃれポイントになっています。貧弱な職能靴の現状職能靴とは、警察官、消防士、郵便配達人または看護婦など、その仕事の内容にふさわしい機能を備えた靴をいいます
94,と思い、身を翻そうとした。後ろから肩を捕まえられた。さっきの消防士がにこやかにほほ笑んでいた。「これは防火訓練なんです。あと五分もすれば
95,は好奇心が旺盛なので、火を見ると近づいていく。サイにいたっては「森の消防士」と呼ばれているくらいで、火を踏んで消すこともある。また、たき火に
96,はもはやフィルターしか残っていなかった。さすがに諦めて投げ捨てようとした矢先、「消防士が煙草を投げ捨ててどうする！」と、舌を打ちならすばかりの勢いで警告され
97,時代にも同様の体力測定をしていたことは想像に難くない。今日でも消防士などの職種によっては、採用試験の際に体力測定を採用している。一般的に体力の
98,ビバリー・スミス（五十五）夫妻が来日した際、歌を披露したところ、同夫妻が「ＮＹの消防士のために、ぜひ歌わせてほしい」と申し出た。同夫妻は三十一日、神戸市中央区
99,に立つレザーマン・ナイフと、キー・リングがあった。これは消防士に必要な道具だ。どの消防士も千六百二十キーを持っている。これは消防局から配布されるもので、ニューヨーク市のどの消防署の
100,および採用予定人員（１）一般行政事務「初級」５名（２）土木技術事務「初級」１名（３）消防士１名申込書請求・お申込み・お問合せ先〒７８１‐１１９２土佐市高岡町甲二千十七‐１土佐市役所総務課総務班職員係（ＴＥＬ８５２‐７６０３）※試験案内および申込書
101,に扱える消防士がすごいと思い、憧れが強くなった」と言います。「消防士に必要な能力は、体力と知力。陸上部なので体力はあるが、知力は
102,、消防士たちはホースを片づけているところだった。ワイアットはピックアップトラックをとめた。「消防士と話をしてくる。すぐに戻るよ」ガブリエルは、ワイアットがふたりの
103,遺体は無数に散乱していた。ビルは火災では崩壊はしない。消防士だけでなく、建築家も、設計士も、誰もが、そう信じて疑わなかった。
104,百二十六ウイスキー百二十七ジンマシーン（じんましん）百二十八蚊とり線香百二十九シンクロナイズド・スイミング百三十フライパン百三十一消防士（小帽子）百三十二ママの宝石箱百三十三読（毒）書百三十四ギンヤンマ百三十五
105,ことを自分から言いだそうともしない、そういう人間だった。「私は消防士です」職業を聞かれると、彼はそう答えていた。九月十一日、世界貿易センタービル
106,だが姿はない。となると本署の中には入れない。いくら俺が消防士でも、自分の勤務先でもない署に、どうぞどうぞと部外者を招き入れるわけに
107,見える。もう少し年長になってくると、お父さんの仕事の内容を考えて、たとえば消防士だったらすごく自慢で、普通の会社員だとちょっとつまらないとか、いろいろ差別化され
108,なり、消防署自体が、カーバンクルから近いので、よく訪れるという話だった。柏木自身、消防士というだけあって、この連続放火事件には、深い関わりを持っていた。興味深かった
109,消防士って、コネが必要？？？また、サラリーマンしてて転職するのは無謀？？？
110,こいつもまた、とうぜんと思っていたに違いない。「自分たちは助けられて当たり前。消防士が自分のために命を落としたって、それが仕事なんだから。誰がそんな
