,0
98,、神は人智の進歩と歩調をあわせて少しずつ、啓示を深くつよく人間に差出すということをまず理解する必要がある。新約に至ってもその通りで、弟子たちが
99,人類は罪作りですななかなか右のほほを打たれても左の頬を差出すわけにはまいりません
100,は「壁の花の君」の姿を探した。彼女は横の男の子が差出したひじにそっとつかまっていた。その細い指先を見ていると、何だか泣きたくなっ
101,一階まで降りてくることがない。自分の部屋からは出てこないのだ。差出されたスリッパをはいて、私は二階へと上がっていこうとして、ふと
102,アリソンです、サー、ルーファス・アリソン。召使をしてます、サー、」男は彼が差出した一シリングを受け取り、帽子を腋の下に入れてお辞儀し、出ていった。グレイ
103,があなたの望みなら」「それがおれの望みだ」ロイが手を差出し、アンジェラがそれを見つめる。あわてずに。じっくり考える。ロイが笑いかけ、さらに大きく
104,こんなはずではなかった）手紙を書き、自ら屍鬼を招き、その前に自分を差出したときには、こんなことになるとは思わなかったのだ。信明が脳卒中
105,てあげる。じつはこれがいちばんてっとり早い。「花粉症の鼻水で困っている人にティッシュを差出す」みたいなことだ。パック旅行で海外に行った。時差ボケで彼が苦しんでいる
106,鷹が増えれば小鳥は乱れさわぐ。いろんな役人が置かれれば人民は苦しむ。お上に差出す物が増えれば、下民は貧しくなる。それに君主が宝物を山と積み、
107,、「まず、これを受け取って欲しい」何のつもりか、一枚のＣＤケースを差出してきた。受け取るも何も、コンピュータ研が俺たちに善意からなるプレゼントをくれるはずは
108,を採ってきて下さい」目が合うと美人看護婦はそんなことを言って、紙コップを差出した。ぼくは涎を垂らしていないか口元を気にしながら、紙コップを受け取っ
109,テスは口から出まかせを言った。すると、比較的新しいブライダル雑誌が目の前にごそっと差出された。「このなかに掲載されているドレスのほとんどは取り揃えてございますし
110,てない。だが、これだけ“個性”のある名刺ならば、森戸はだれに差出したものかおぼえているにちがいない。名刺の肩書から推して、森戸はセールスマンだろう。
111,が、その暗さはやっと人の顔が判別できるほどだ。王はすでにミコトが差出した土産物を閲覧していた。絹布なども楽浪をとおして手に入れているが、
112,男はディーナのまわりの空気をつかもうとした。格子の間から手を差出すことができなかったからだ。看護人がいった。こちらのディーナ・グローンエルヴというご婦人
113,たわ。でも、彼が乗れるような話は、ひとつもなかった。餌として差出された女を、彼が楽しんだだけのこと」「餌？」「あなたも
114,入れた小さなガラスの水差しが置いてあった。ナターシャが自己紹介すると女性は手を差出した。「ロージーよ」と彼女は言った。「お店にぴったりでしょ？でも
115,いいね。最後のあきらめないでは１ｓｔ以上に気合い入ったね。ユズキさんからマイクを差出されて一緒に歌ったね。最後はグッズ三千円購入でのツーショットポラ撮影。ハルカさんとパシャッ
116,存じませぬ。上様のご居城ならば、その倍であってもみな喜んで人数を差出しましょう」「そうか。それでは、もう一つ訊ねるが、この賦課、そのまま大坂
